Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.70723,0.89479,1.3289,0,0,0,0.19084,0.00014713,6.8937E-06,-8.9675E-07,0.00026594,-1.5506E-05,0.00014875,0,0,0,0,0,0,package://Robotic_Arm/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lower_arm,-0.034789,0.052024,4.4209E-05,0,0,0,0.19613,0.00038821,0.00032912,5.654E-07,0.00038835,-6.0057E-07,0.00072024,0,0,0,0,0,0,package://Robotic_Arm/meshes/lower_arm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/lower_arm.STL,,Lower arm link-1,Origin_joint0,Axis_joint0,joint0,revolute,0.70796,-1.3272,0.9075,1.6757,0.094954,1.9904,base_link,0,1,0,10,1,-3.14,3.14,,,,,,,,
upper_arm,0.030278,0.032273,-0.019925,0,0,0,0.081835,9.6287E-05,-7.8192E-05,-1.6357E-06,7.9895E-05,-1.7788E-06,0.00017026,0,0,0,0,0,0,package://Robotic_Arm/meshes/upper_arm.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/upper_arm.STL,,Upper arm-1,Origin_joint1,Axis_joint1,joint1,revolute,-0.1,0.12129,0,0,0,-0.97771,lower_arm,0,0,1,10,1,-3.14,3.14,,,,,,,,
shoulder_drive,0.0053519,-4.4717E-05,0.010345,0,0,0,0.036284,1.6274E-05,-5.7101E-10,2.109E-07,1.6305E-05,-1.2692E-08,4.537E-06,0,0,0,0,0,0,package://Robotic_Arm/meshes/shoulder_drive.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/shoulder_drive.STL,,Shoulder Drive Unit-1,Origin_joint2,Axis_joint2,joint2,revolute,0.08,0.09,0,1.9556,-1.5708,0,upper_arm,1,0,0,10,1,-3.14,3.14,,,,,,,,
rotary_yoke,0.0034544,-8.8589E-10,-1.5216E-10,0,0,0,0.015723,4.9761E-06,2.7011E-13,1.3689E-13,8.6886E-06,1.0867E-12,6.6823E-06,0,0,0,0,0,0,package://Robotic_Arm/meshes/rotary_yoke.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/rotary_yoke.STL,,Rotary Yoke Joint-1,Origin_joint3,Axis_joint3,joint3,revolute,0.005,0,0.077514,1.1002,1.5708,0,shoulder_drive,1,0,0,10,1,-3.14,3.14,,,,,,,,
wrist_module,0.0052933,6.3561E-10,3.6458E-10,0,0,0,0.034187,3.7152E-06,4.4265E-13,1.2545E-13,8.9897E-06,-9.6955E-13,9.0316E-06,0,0,0,0,0,0,package://Robotic_Arm/meshes/wrist_module.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/wrist_module.STL,,Wrist Module-1,Origin_joint4,Axis_joint4,joint4,revolute,-0.025486,0,0,0,0,1.8687,rotary_yoke,0,0,1,8,1,-3.14,3.14,,,,,,,,
gripper_actuator,-3.7917E-09,-9.0172E-09,0.0059505,0,0,0,0.015789,1.6581E-06,4.1866E-12,5.5925E-13,1.6959E-06,8.6177E-13,1.8592E-06,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_actuator.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_actuator.STL,,Gripper Actuator-1,Origin_joint5,Axis_joint5,joint5,revolute,0.03356,0,0,-1.5708,0.5658,-1.5708,wrist_module,0,0,1,10,1,-3.14,3.14,,,,,,,,
gripper_1,0.018895,0.0012108,5.4008E-08,0,0,0,0.0029088,5.5054E-08,-3.6466E-08,-5.9482E-12,5.6195E-07,6.3354E-14,5.2896E-07,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_1.STL,,Gripper-2,Origin_joint6,Axis_joint6,joint6,revolute,-0.011,0,0.02344,1.5708,-1.5034,0,gripper_actuator,0,0,1,2,1,0,-1.57,,,,,,,,
gripper_2,0.018895,0.0012108,5.2626E-08,0,0,0,0.0029088,5.5055E-08,-3.6466E-08,-5.9756E-12,5.6195E-07,3.1914E-14,5.2896E-07,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Robotic_Arm/meshes/gripper_2.STL,,Gripper-1,Origin_joint7,Axis_joint7,joint7,revolute,0.011,0,0.02344,1.5708,-1.5034,3.1416,gripper_actuator,0,0,1,2,1,0,1.57,,,,,,,,
